 
1,596 Vang	61°12′52″N	8°30′15″E
27,202 Horten	59°25′15″N	10°25′58″E
14,037 Holmestrand	59°29′43″N	10°14′55″E
44,922 Tønsberg	59°17′53″N	10°25′25″E
62,019 Sandefjord	59°7′50″N	10°13′00″E
46,557 Larvik	59°4′52″N	10°0′59″E
36,198 Porsgrunn	59°6′56″N	9°42′36″E
54,316 Skien	59°12′29″N	9°33′10″E
12,757 Notodden	59°37′46″N	9°11′29″E
26,676 Færder	59°10′N	10°24′E
2,357 Siljan	59°17′51″N	9°42′23″E
14,138 Bamble	59°1′11″N	9°33′39″E
10,586 Kragerø	58°53′13″N	9°20′49″E
4,148 Drangedal	59°7′24″N	8°58′55″E
6,585 Nome	59°17′5″N	9°7′26″E
10,439 Midt-Telemark	59°27′00″N	9°06′00″E
5,894 Tinn	60°0′33″N	8°33′34″E
1,593 Hjartdal	59°39′54″N	8°43′34″E
2,979 Seljord	59°30′48″N	8°38′56″E
2,442 Kviteseid	59°23′54″N	8°29′42″E
1,476 Nissedal	59°4′35″N	8°31′6″E
1,319 Fyresdal	59°9′57″N	8°1′11″E
2,228 Tokke	59°25′2″N	7°58′43″E
3,726 Vinje	59°48′5″N	7°46′45″E
6,935 Risør	58°43′35″N	09°11′40″E
22,692 Grimstad	58°21′07″N	08°32′40″E
44,576 Arendal	58°27′39″N	08°45′59″E
113,920 Kristiansand	58°8′50″N	7°59′50″E
23,025 Lindesnes	58°06′15″N	07°17′20″E
9,769 Farsund	58°04′58″N	06°45′10″E
9,090 Flekkefjord	58°19′38″N	06°40′00″E
2,511 Gjerstad	58°53′33″N	08°57′24″E
2,104 Vegårshei	58°46′32″N	08°49′56″E
6,051 Tvedestrand	58°37′26″N	08°55′40″E
5,713 Froland	58°34′59″N	08°34′20″E
10,702 Lillesand	58°14′49″N	08°19′01″E
5,178 Birkenes	58°26′58″N	08°14′00″E
1,856 Åmli	58°47′53″N	08°22′9″E
1,342 Iveland	58°26′28″N	07°57′21″E
3,614 Evje og Hornnes	58°35′05″N	07°46′14″E
1,200 Bygland	58°55′27″N	07°45′53″E
1,246 Valle	59°12′45″N	7°32′09″E
952 Bykle	59°26′35″N	07°15′18″E
14,425 Vennesla	58°18′38″N	7°51′25″E
937 Åseral	58°42′07″N	07°23′37″E
10,368 Lyngdal	58°10′09″N	07°03′21″E
1,702 Hægebostad	58°27′24″N	07°13′11″E
5,988 Kvinesdal	58°20′17″N	07°01′23″E
1,836 Sirdal	58°51′43″N	06°48′48″E
287,428 Bergen	60°23′22″N	5°19′48″E
17,131 Kinn	61°35′59″N	5°01′58″E
4,043 Etne	59°39′50″N	05°56′00″E
5,775 Sveio	59°34′25″N	05°21′48″E
12,061 Bømlo	59°46′46″N	05°13′06″E
18,919 Stord	59°48′29″N	05°27′59″E
3,117 Fitjar	59°55′08″N	05°22′17″E
2,883 Tysnes	59°59′54″N	05°34′38″E
13,017 Kvinnherad	59°55′41″N	06°02′13″E
10,881 Ullensvang	60°18′42″N	06°48′53″E
937 Eidfjord	60°26′06″N	07°16′38″E
1,051 Ulvik	60°37′16″N	07°04′49″E
15,875 Voss	60°42′09″N	06°25′23″E
8,497 Kvam	60°22′12″N	06°08′38″E
2,501 Samnanger	60°24′10″N	05°48′20″E
25,213 Bjørnafjorden	60°11′44″N	5°37′20″E
5,282 Austevoll	60°02′16″N	05°16′06″E
39,032 Øygarden	60°36′39″N	04°49′29″E
29,032 Askøy	60°28′17″N	05°09′38″E
3,867 Vaksdal	60°36′25″N	05°48′58″E
378 Modalen	60°52′50″N	05°55′31″E
8,131 Osterøy	60°31′05″N	05°32′29″E
29,816 Alver	60°40′00″N	05°20′00″E
2,889 Austrheim	60°46′16″N	04°55′34″E
502 Fedje	60°46′08″N	04°43′50″E
1,629 Masfjorden	60°50′18″N	05°26′55″E
2,230 Gulen	61°01′27″N	05°07′10″E
768 Solund	61°07′51″N	04°56′52″E
1,290 Hyllestad	61°10′15″N	05°17′35″E
3,965 Høyanger	61°11′17″N	05°53′44″E
2,560 Vik	61°03′25″N	06°34′41″E
12,097 Sogndal	61°14′32″N	07°03′18″E
1,766 Aurland	60°52′05″N	07°14′36″E
2,117 Lærdal	61°03′04″N	07°35′52″E
5,204 Årdal	61°17′29″N	07°47′53″E
5,246 Luster	61°29′38″N	07°19′46″E
2,951 Askvoll	61°24′21″N	05°14′32″E
2,901 Fjaler	61°18′22″N	05°27′48″E
22,116 Sunnfjord	61°27′08″N	5°51′26″E
3,521 Bremanger	61°48′31″N	05°25′15″E
9,527 Stad	61°54′41″N	6°02′14″E
5,875 Gloppen	61°44′38″N	06°10′14″E
7,207 Stryn	61°50′19″N	06°51′46″E
211,246 Trondheim	63°25′47″N	10°23′36″E
24,357 Steinkjer	64°03′29″N	11°43′08″E
13,051 Namsos	64°29′38″N	11°30′42″E
4,937 Frøya	63°43′32″N	08°44′39″E
978 Osen	64°17′52″N	10°30′48″E
6,973 Oppdal	62°34′25″N	09°36′32″E
2,556 Rennebu	62°49′51″N	09°52′28″E
5,623 Røros	62°34′27″N	11°22′59″E
2,046 Holtålen	62°52′07″N	11°16′38″E
6,319 Midtre Gauldal	62°55′16″N	10°30′02″E
16,213 Melhus	63°10′35″N	10°18′13″E
8,000 Skaun	63°16′53″N	10°03′19″E
13,820 Malvik	63°22′22″N	10°45′03″E
4,098 Selbu	63°11′54″N	11°08′25″E
861 Tydal	63°01′06″N	11°48′54″E
2,508 Meråker	63°26′17″N	11°50′58″E
23,625 Stjørdal	63°28′30″N	11°10′15″E
2,630 Frosta	63°36′14″N	10°46′28″E
19,892 Levanger	63°39′17″N	11°15′37″E
14,849 Verdal	63°47′53″N	11°56′57″E
2,159 Snåsa	64°13′28″N	12°37′31″E
1,389 Lierne	64°22′34″N	13°36′35″E
469 Røyrvik	64°55′15″N	13°39′03″E
872 Namsskogan	64°52′19″N	12°58′35″E
2,467 Grong	64°31′53″N	12°37′12″E
1,264 Høylandet	64°43′27″N	12°20′02″E
3,840 Overhalla	64°30′28″N	11°53′38″E
1,090 Flatanger	64°25′11″N	10°54′28″E
584 Leka	65°05′17″N	11°37′01″E
6,800 Inderøy	63°53′58″N	11°13′12″E
10,108 Indre Fosen	63°38′38″N	10°11′13″E
5,963 Heim	63°17′26″N	9°05′21″E
4,659 Hitra	63°32′50″N	08°51′17″E
5,291 Ørland	63°47′N	09°48′E
3,263 Åfjord	63°58′40″N	10°23′08″E
11,891 Orkland	63°18′24″N	9°51′01″E
9,623 Nærøysund	64°50′21″N	11°27′39″E
